display  D   display_settings.c:398  _al_score_display_settings       [   0.10595] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   0.10609] Trying format 0.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   0.10709] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   0.10733] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.15197] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:849  d3d_create_device                [   0.19312] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:857  d3d_create_device                [   0.19334] Success
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.19359] Resumed after wait.
d3d      I         d3d_disp.cpp:1734 d3d_create_display_internals     [   0.19384] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1765 d3d_create_display_internals     [   0.19407] Returning d3d_display: 01583690
d3d      D         d3d_disp.cpp:1790 d3d_create_display_locked        [   0.19427] al_display=01583690
d3d      D         d3d_disp.cpp:1791 d3d_create_display_locked        [   0.19442] al_display->vt=0150E4B0
dtor     D               dtor.c:227  _al_unregister_destructor        [ 186.26792] removed dtor for timer 014F7BA8
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [ 186.26870] destroying display 01583690 (current 00000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [ 186.27179] waiting for display 01583690's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [ 186.27903] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1558 d3d_display_thread_proc          [ 186.29172] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [ 186.29291] removed dtor for queue 014E4D70
